3133.412 	1.5 	0.273 	0.006 	2.244 	0.016 	-0.175 	0.013
3134.362 	1.1 	0.291 	0.002 	2.241 	0.011 	-0.166 	0.004
3135.385 	0.9 	0.282 	0.004 	2.268 	0.012 	-0.177 	0.008
3142.386 	1.3 	0.287 	0.002 	2.273 	0.007 	-0.167 	0.003
3146.415 	1.2 	0.276 	0.001 	2.264 	0.006 	-0.178 	0.002
3150.406 	0.9 	0.264 	0.001 	2.300 	0.006 	-0.176 	0.001
3152.367 	1.0 	0.279 	0.004 	2.231 	0.011 	-0.172 	0.008
3154.407 	0.9 	0.267 	0.002 	2.252 	0.007 	-0.175 	0.003
3159.364 	1.1 	0.253 	0.003 	2.254 	0.018 	-0.174 	0.005
3163.315 	1.7 	0.249 	0.002 	2.301 	0.010 	-0.173 	0.003
3166.425 	1.0 	0.248 	0.002 	2.244 	0.008 	-0.177 	0.003
3169.393 	1.1 	0.222 	0.003 	2.317 	0.011 	-0.189 	0.006
3171.430 	1.5 	0.234 	0.002 	2.284 	0.008 	-0.172 	0.004
3173.298 	1.1 	0.233 	0.001 	2.275 	0.006 	-0.168 	0.002
3175.300 	1.1 	0.230 	0.001 	2.279 	0.006 	-0.178 	0.001
3189.265 	1.1 	0.208 	0.007 	2.236 	0.023 	-0.172 	0.012
3191.360 	1.1 	0.215 	0.003 	2.255 	0.018 	-0.167 	0.004
3193.304 	1.3 	0.194 	0.006 	2.246 	0.018 	-0.166 	0.012
3195.252 	1.0 	0.217 	0.002 	2.239 	0.007 	-0.170 	0.004
3209.256 	1.0 	0.189 	0.003 	2.198 	0.010 	-0.167 	0.007
3213.256 	1.0 	0.166 	0.003 	2.190 	0.010 	-0.183 	0.007
3216.310 	1.7 	0.149 	0.006 	2.189 	0.018 	-0.163 	0.011
3219.281 	1.6 	0.151 	0.004 	2.198 	0.018 	-0.155 	0.008
3221.234 	1.0 	0.178 	0.002 	2.241 	0.009 	-0.179 	0.003
3224.209 	1.2 	0.140 	0.005 	2.228 	0.015 	-0.166 	0.010
3232.187 	1.1 	0.215 	0.003 	2.198 	0.009 	-0.168 	0.005
3246.163 	1.3 	0.133 	0.013 	2.148 	0.035 	-0.142 	0.026
3254.125 	0.9 	0.156 	0.004 	2.139 	0.013 	-0.160 	0.007
3256.135 	1.0 	0.188 	0.001 	2.181 	0.005 	-0.173 	0.003
3261.115 	1.5 	0.203 	0.011 	2.153 	0.029 	-0.178 	0.017
3271.109 	1.3 	0.191 	0.005 	2.167 	0.014 	-0.183 	0.009
3273.103 	1.2 	0.163 	0.007 	2.117 	0.020 	-0.176 	0.013
3277.104 	1.0 	0.190 	0.004 	2.179 	0.014 	-0.191 	0.007
3281.106 	1.4 	0.146 	0.006 	2.151 	0.016 	-0.167 	0.011
3283.100 	1.2 	0.146 	0.004 	2.129 	0.012 	-0.164 	0.008
3430.540 	0.9 	0.167 	0.002 	2.078 	0.009 	-0.135 	0.003
3434.546 	0.8 	0.175 	0.007 	2.088 	0.019 	-0.143 	0.009
3461.499 	0.9 	0.166 	0.003 	2.138 	0.009 	-0.150 	0.005
3475.491 	0.9 	0.175 	0.004 	2.120 	0.012 	-0.179 	0.008
3482.443 	1.1 	0.177 	0.002 	2.124 	0.011 	-0.149 	0.004
3500.415 	1.3 	0.206 	0.004 	2.147 	0.011 	-0.168 	0.008
3507.348 	1.0 	0.177 	0.005 	2.106 	0.012 	-0.153 	0.009
3511.303 	1.0 	0.172 	0.007 	2.153 	0.018 	-0.151 	0.012
3517.383 	0.8 	0.163 	0.004 	2.146 	0.012 	-0.168 	0.007
3524.391 	0.9 	0.194 	0.002 	2.118 	0.006 	-0.183 	0.003
3540.345 	1.0 	0.194 	0.003 	2.124 	0.011 	-0.168 	0.006
3542.323 	1.1 	0.172 	0.007 	2.132 	0.020 	-0.194 	0.014
3552.291 	0.9 	0.201 	0.001 	2.149 	0.005 	-0.179 	0.001
3556.295 	0.9 	0.204 	0.003 	2.185 	0.008 	-0.176 	0.005
3559.280 	1.0 	0.181 	0.002 	2.134 	0.007 	-0.160 	0.004
3570.247 	1.0 	0.192 	0.005 	2.094 	0.015 	-0.165 	0.010
3575.323 	1.3 	0.198 	0.010 	2.084 	0.026 	-0.172 	0.019
3576.264 	1.0 	0.211 	0.001 	2.195 	0.008 	-0.181 	0.002
3578.275 	1.2 	0.189 	0.002 	2.133 	0.007 	-0.177 	0.003
3581.284 	1.2 	0.190 	0.005 	2.176 	0.012 	-0.188 	0.009
3611.225 	1.2 	0.188 	0.003 	2.161 	0.008 	-0.165 	0.005
3613.201 	1.5 	0.175 	0.007 	2.156 	0.018 	-0.180 	0.013
