#Event; Ctrk(N); Ctrk(SumE); Hcal(SumE); Comment
1; 5; 74.0; 51.1; 10.2;
2; 2; 46.5; 17.3; 8.2;
3; 2; 30.8; 1.6; 6.3;
4; 2; 29.5; 10.2; 4.1;
5; 2; 33.1; 1.5; 10.6;
6; 2; 24.4; 12.4; 11.7;
7; 4; 36.0; 16.1; 5.7;
8; 2; 41.3; 11.1; 20.0;
9; 2; 49.7; 5.2; 20.3;
10; 2; 33.4; 23.6; 6.9;
11; 2; 14.1; 3.3; 6.3;
12; 2; 19.7; 15.9; 3.8;
13; 2; 26.8; 16.5; 3.4;
14; 5; 23.4; 27.0; 17.1;
15; 2; 23.8; 29.4; 3.6;
16; 2; 39.0; 18.9; 4.4;
17; 2; 24.1; 46.5; 7.3;
18; 5; 38.5; 28.5; 0.0;
19; 2; 35.3; 51.8; 2.3;
20; 2; 17.8; 2.5; 5.0;
