#Event; Ctrk(N); Ctrk(SumE); Hcal(SumE); Comment
1; 2; 50.9; 82.6; 0.0;
2; 2; 91.0; 90.0; 0.0;
3; 3; 82.5; 92.3; 0.0;
4; 2; 80.9; 86.8; 0.0;
5; 2; 38.1; 89.5; 0.0;
6; 2; 83.8; 87.5; 0.0;
7; 2; 87.4; 93.2; 0.0;
8; 2; 69.3; 90.7; 0.0;
9; 2; 86.1; 89.4; 0.5;
10; 2; 90.3; 90.6; 0.0;
11; 2; 92.1; 88.5; 0.4;
12; 3; 81.7; 91.6; 0.0;
13; 2; 89.6; 92.5; 0.0;
14; 2; 61.1; 89.2; 0.0;
15; 3; 88.4; 89.1; 0.0;
16; 2; 90.9; 90.5; 0.3;
17; 2; 64.6; 88.8; 0.0;
18; 2; 95.6; 96.2; 0.0;
19; 2; 93.0; 90.8; 0.0;
20; 2; 94.1; 89.2; 0.0;
